TimeCreated,EventID,hour_of_day,event_frequency,inter_event_gap_seconds,message_length,anomaly_score,prediction
2026-04-21 05:40:08.185665400+05:30,5,5,75,0.0,235,0.15128590195616476,normal
2026-04-21 05:40:08.188733300+05:30,5,5,75,0.0030679,210,0.17135281950015485,normal
2026-04-21 05:40:08.189763700+05:30,5,5,75,0.0010304,212,0.1701186600802292,normal
2026-04-21 05:40:08.202532800+05:30,5,5,75,0.0127691,230,0.16031403630789776,normal
2026-04-21 05:40:08.227373400+05:30,5,5,75,0.0248406,235,0.1515515298032853,normal
2026-04-21 05:40:08.244036800+05:30,5,5,75,0.0166634,266,0.0815007599588824,normal
2026-04-21 05:40:08.318701600+05:30,5,5,75,0.0746648,294,0.02630480109722866,normal
2026-04-21 05:40:08.385520200+05:30,5,5,75,0.0668186,210,0.16973782663337117,normal
2026-04-21 05:40:08.410197800+05:30,5,5,75,0.0246776,233,0.153508126887122,normal
2026-04-21 05:40:08.413043600+05:30,5,5,75,0.0028458,203,0.1708514602519176,normal
2026-04-21 05:40:08.413357200+05:30,5,5,75,0.0003136,203,0.17014157066337576,normal
2026-04-21 05:40:08.455683500+05:30,5,5,75,0.0423263,230,0.15896338336345633,normal
2026-04-21 05:40:08.624095300+05:30,5,5,75,0.1684118,215,0.16239955228149155,normal
2026-04-21 05:40:08.818065400+05:30,5,5,75,0.1939701,252,0.10955954272264473,normal
2026-04-21 05:40:09.208884900+05:30,5,5,75,0.3908195,281,0.039536340420026295,normal
2026-04-21 05:40:09.956864400+05:30,5,5,75,0.7479795,203,0.15039334029323614,normal
2026-04-21 05:40:38.130761600+05:30,4,5,1,28.1738972,116,-0.025206246170759505,anomaly
2026-04-21 05:40:38.146680700+05:30,5,5,75,0.0159191,202,0.16727461825612744,normal
2026-04-21 05:40:38.178108+05:30,5,5,75,0.0314273,200,0.14753573412214455,normal
2026-04-21 05:40:38.186330300+05:30,5,5,75,0.0082223,200,0.1494874816082311,normal
2026-04-21 05:40:38.285202100+05:30,5,5,75,0.0988718,200,0.14525279157441362,normal
2026-04-21 05:40:38.316613500+05:30,5,5,75,0.0314114,205,0.17388125121050768,normal
2026-04-21 05:40:38.478352800+05:30,5,5,75,0.1617393,240,0.14129702300698166,normal
2026-04-21 05:40:38.478386300+05:30,5,5,75,3.35e-05,240,0.14558561890480287,normal
2026-04-21 05:40:38.478409400+05:30,5,5,75,2.31e-05,240,0.14558561890480287,normal
2026-04-21 05:40:38.478432200+05:30,5,5,75,2.28e-05,240,0.14558561890480287,normal
2026-04-21 05:40:38.604941900+05:30,5,5,75,0.1265097,204,0.16890199412363288,normal
2026-04-21 05:40:38.620020700+05:30,5,5,75,0.0150788,203,0.17096868943902455,normal
2026-04-21 05:40:38.905506500+05:30,5,5,75,0.2854858,204,0.1652906970171643,normal
2026-04-21 05:40:38.913673800+05:30,5,5,75,0.0081673,203,0.17116159088677796,normal
2026-04-21 05:40:39.172313400+05:30,5,5,75,0.2586396,205,0.16750289389509043,normal
2026-04-21 05:40:39.201341300+05:30,5,5,75,0.0290279,198,0.13759349835211548,normal
2026-04-21 05:40:39.329460500+05:30,5,5,75,0.1281192,204,0.16890199412363288,normal
2026-04-21 05:40:39.333809700+05:30,5,5,75,0.0043492,203,0.17098123633411216,normal
2026-04-21 05:40:39.355282800+05:30,5,5,75,0.0214731,200,0.14848905616717262,normal
2026-04-21 05:40:39.360115900+05:30,5,5,75,0.0048331,199,0.14121211177455428,normal
2026-04-21 05:40:39.560308800+05:30,5,5,75,0.2001929,200,0.142679025382015,normal
2026-04-21 05:40:39.562947900+05:30,5,5,75,0.0026391,199,0.14075317289496558,normal
2026-04-21 05:40:40.068309100+05:30,5,5,75,0.5053612,204,0.1594788753379664,normal
2026-04-21 05:40:40.071223+05:30,5,5,75,0.0029139,203,0.1710444179268345,normal
2026-04-21 05:40:40.186049600+05:30,5,5,75,0.1148266,204,0.16927832875877719,normal
2026-04-21 05:40:40.188385800+05:30,5,5,75,0.0023362,203,0.1708514602519176,normal
2026-04-21 05:40:40.246858500+05:30,5,5,75,0.0584727,243,0.13851145675476761,normal
2026-04-21 05:40:40.302702900+05:30,5,5,75,0.0558444,204,0.17180084423497433,normal
2026-04-21 05:40:40.305004500+05:30,5,5,75,0.0023016,203,0.1708514602519176,normal
2026-04-21 05:40:40.394205800+05:30,5,5,75,0.0892013,204,0.1708317629527521,normal
2026-04-21 05:40:40.396547600+05:30,5,5,75,0.0023418,203,0.1708514602519176,normal
2026-04-21 05:40:40.510766800+05:30,5,5,75,0.1142192,204,0.16927832875877719,normal
2026-04-21 05:40:40.512754300+05:30,5,5,75,0.0019875,203,0.1708514602519176,normal
2026-04-21 05:40:40.579481100+05:30,5,5,75,0.0667268,205,0.17369294809293012,normal
2026-04-21 05:40:40.621290700+05:30,5,5,75,0.0418096,204,0.17190682303554528,normal
2026-04-21 05:40:40.623039900+05:30,5,5,75,0.0017492,203,0.1708514602519176,normal
2026-04-21 05:40:40.734743+05:30,5,5,75,0.1117031,204,0.17001195012961196,normal
2026-04-21 05:40:40.736594800+05:30,5,5,75,0.0018518,203,0.1708514602519176,normal
2026-04-21 05:40:40.924821700+05:30,5,5,75,0.1882269,204,0.1679161011804054,normal
2026-04-21 05:40:40.926582200+05:30,5,5,75,0.0017605,203,0.1708514602519176,normal
2026-04-21 05:40:41.055401400+05:30,5,5,75,0.1288192,204,0.16890199412363288,normal
2026-04-21 05:40:41.057258800+05:30,5,5,75,0.0018574,203,0.1708514602519176,normal
2026-04-21 05:40:41.195709800+05:30,5,5,75,0.138451,214,0.163031674260658,normal
2026-04-21 05:40:42.663404100+05:30,5,5,75,1.4676943,230,0.13309305937555949,normal
2026-04-21 05:40:42.665264600+05:30,5,5,75,0.0018605,203,0.1708514602519176,normal
2026-04-21 05:40:43.087995300+05:30,5,5,75,0.4227307,240,0.13600814469366362,normal
