timestamp,client_ip,method,path,query,event_type,status_code,latency_ms,hour_of_day,is_error,is_auth_failed,is_scan,is_admin_path,is_sqli,is_xss,is_token_abuse,is_bot,req_per_min_ip,unique_paths_per_min_ip,anomaly_score,prediction,risk_score,severity,reason_tags
2026-03-18 01:08:39.181518+00:00,127.0.0.1,GET,/,,web_request,200,18.322,1,0,0,0,0,0,0,0,0,1,1,-0.09198999807231978,anomaly,11.04,low,ml_outlier
2026-03-18 01:08:39.305814+00:00,127.0.0.1,GET,/products,limit=5,web_request,200,5.2,1,0,0,0,0,0,0,0,0,2,2,-0.06717693838959315,anomaly,8.06,low,ml_outlier
2026-03-18 01:08:39.373935+00:00,127.0.0.1,GET,/products,limit=5,web_request,200,1.428,1,0,0,0,0,0,0,0,0,3,2,-0.06726226645448274,anomaly,8.07,low,ml_outlier
2026-03-18 01:08:39.471884+00:00,127.0.0.1,GET,/,,web_request,200,0.988,1,0,0,0,0,0,0,0,0,4,2,-0.06526501302059373,anomaly,7.83,low,ml_outlier
2026-03-18 01:08:39.587038+00:00,127.0.0.1,GET,/,,web_request,200,0.739,1,0,0,0,0,0,0,0,0,5,2,-0.06610777751187102,anomaly,7.93,low,ml_outlier
2026-03-18 01:08:39.732204+00:00,127.0.0.1,GET,/health,,web_request,200,1.819,1,0,0,0,0,0,0,0,0,6,3,-0.029327433269904835,anomaly,3.52,low,ml_outlier
2026-03-18 01:08:39.781559+00:00,127.0.0.1,GET,/products,limit=5,web_request,200,1.142,1,0,0,0,0,0,0,0,0,7,3,-0.02814024667055015,anomaly,3.38,low,ml_outlier
2026-03-18 01:08:39.862868+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,10.075,1,0,0,0,0,0,0,0,0,8,3,-0.02914396004012021,anomaly,3.5,low,ml_outlier
2026-03-18 01:08:39.902134+00:00,127.0.0.1,GET,/,,web_request,200,1.197,1,0,0,0,0,0,0,0,0,9,3,-0.026922962266325623,anomaly,3.23,low,ml_outlier
2026-03-18 01:08:40.015920+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,1.024,1,0,0,0,0,0,0,0,0,10,3,-0.02608498452060437,anomaly,3.13,low,ml_outlier
2026-03-18 01:08:40.162391+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,0.754,1,0,0,0,0,0,0,0,0,11,3,-0.026172042583308408,anomaly,3.14,low,ml_outlier
2026-03-18 01:08:40.280155+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,0.964,1,0,0,0,0,0,0,0,0,12,3,-0.024203525031332274,anomaly,2.9,low,ml_outlier
2026-03-18 01:08:40.373605+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,0.893,1,0,0,0,0,0,0,0,0,13,3,-0.024448294128091796,anomaly,2.93,low,ml_outlier
2026-03-18 01:08:40.485761+00:00,127.0.0.1,GET,/products,limit=5,web_request,200,0.972,1,0,0,0,0,0,0,0,0,14,3,-0.02438137142646357,anomaly,2.93,low,ml_outlier
2026-03-18 01:08:40.582465+00:00,127.0.0.1,GET,/products,limit=5,web_request,200,1.138,1,0,0,0,0,0,0,0,0,15,3,-0.023847465700153614,anomaly,2.86,low,ml_outlier
2026-03-18 01:08:40.716246+00:00,127.0.0.1,GET,/products,limit=5,web_request,200,1.425,1,0,0,0,0,0,0,0,0,16,3,-0.024087578488042105,anomaly,2.89,low,ml_outlier
2026-03-18 01:08:40.755603+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,1.03,1,0,0,0,0,0,0,0,0,17,3,-0.022508127337305894,anomaly,2.7,low,ml_outlier
2026-03-18 01:08:40.810295+00:00,127.0.0.1,GET,/products,limit=5,web_request,200,1.383,1,0,0,0,0,0,0,0,0,18,3,-0.02264854905945679,anomaly,2.72,low,ml_outlier
2026-03-18 01:08:40.848690+00:00,127.0.0.1,GET,/products,limit=5,web_request,200,1.211,1,0,0,0,0,0,0,0,0,19,3,-0.020556203877978407,anomaly,2.47,low,ml_outlier
2026-03-18 01:08:41.001704+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,0.973,1,0,0,0,0,0,0,0,0,20,3,-0.020611446139298217,anomaly,12.47,low,ml_outlier|req_rate_high
2026-03-18 01:08:41.125870+00:00,127.0.0.1,GET,/products,limit=5,web_request,200,1.254,1,0,0,0,0,0,0,0,0,21,3,-0.02039542918657644,anomaly,12.45,low,ml_outlier|req_rate_high
2026-03-18 01:08:41.268968+00:00,127.0.0.1,GET,/products,limit=5,web_request,200,1.179,1,0,0,0,0,0,0,0,0,22,3,-0.01958898392659003,anomaly,12.35,low,ml_outlier|req_rate_high
2026-03-18 01:08:41.322349+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,1.19,1,0,0,0,0,0,0,0,0,23,3,-0.01969437735444135,anomaly,12.36,low,ml_outlier|req_rate_high
2026-03-18 01:08:41.374842+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,0.923,1,0,0,0,0,0,0,0,0,24,3,-0.02066978681633236,anomaly,12.48,low,ml_outlier|req_rate_high
2026-03-18 01:08:41.520755+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,1.254,1,0,0,0,0,0,0,0,0,25,3,-0.01979978962366602,anomaly,12.38,low,ml_outlier|req_rate_high
2026-03-18 01:08:41.660580+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,1.257,1,0,0,0,0,0,0,0,0,26,3,-0.020226546863709394,anomaly,12.43,low,ml_outlier|req_rate_high
2026-03-18 01:08:41.734106+00:00,127.0.0.1,GET,/health,,web_request,200,1.598,1,0,0,0,0,0,0,0,0,27,3,-0.02079828005522899,anomaly,12.5,low,ml_outlier|req_rate_high
2026-03-18 01:08:41.813132+00:00,127.0.0.1,GET,/,,web_request,200,2.071,1,0,0,0,0,0,0,0,0,28,3,-0.02141866957687777,anomaly,12.57,low,ml_outlier|req_rate_high
2026-03-18 01:08:41.917192+00:00,127.0.0.1,GET,/,,web_request,200,1.237,1,0,0,0,0,0,0,0,0,29,3,-0.020042944642819194,anomaly,12.41,low,ml_outlier|req_rate_high
2026-03-18 01:08:42.031880+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,1.067,1,0,0,0,0,0,0,0,0,30,3,-0.02009813888860279,anomaly,12.41,low,ml_outlier|req_rate_high
2026-03-18 01:08:42.104680+00:00,127.0.0.1,GET,/,,web_request,200,0.97,1,0,0,0,0,0,0,0,0,31,3,-0.01999267329247456,anomaly,12.4,low,ml_outlier|req_rate_high
2026-03-18 01:08:42.159860+00:00,127.0.0.1,GET,/,,web_request,200,0.838,1,0,0,0,0,0,0,0,0,32,3,-0.019773974343549994,anomaly,12.37,low,ml_outlier|req_rate_high
2026-03-18 01:08:42.258714+00:00,127.0.0.1,GET,/health,,web_request,200,1.812,1,0,0,0,0,0,0,0,0,33,3,-0.020423183475211992,anomaly,12.45,low,ml_outlier|req_rate_high
2026-03-18 01:08:42.383137+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,1.15,1,0,0,0,0,0,0,0,0,34,3,-0.018701018053429497,anomaly,12.24,low,ml_outlier|req_rate_high
2026-03-18 01:08:42.521803+00:00,127.0.0.1,GET,/,,web_request,200,0.716,1,0,0,0,0,0,0,0,0,35,3,-0.018169401274212738,anomaly,12.18,low,ml_outlier|req_rate_high
2026-03-18 01:08:42.669593+00:00,127.0.0.1,GET,/products,limit=5,web_request,200,0.995,1,0,0,0,0,0,0,0,0,36,3,-0.016835892452895074,anomaly,12.02,low,ml_outlier|req_rate_high
2026-03-18 01:08:42.727739+00:00,127.0.0.1,GET,/health,,web_request,200,0.827,1,0,0,0,0,0,0,0,0,37,3,-0.017392754167805835,anomaly,12.09,low,ml_outlier|req_rate_high
2026-03-18 01:08:42.770783+00:00,127.0.0.1,GET,/products,limit=5,web_request,200,0.984,1,0,0,0,0,0,0,0,0,38,3,-0.016703569668770513,anomaly,12.0,low,ml_outlier|req_rate_high
2026-03-18 01:08:42.893140+00:00,127.0.0.1,GET,/health,,web_request,200,1.188,1,0,0,0,0,0,0,0,0,39,3,-0.016116129748714902,anomaly,11.93,low,ml_outlier|req_rate_high
2026-03-18 01:08:42.995143+00:00,127.0.0.1,GET,/products,limit=10,web_request,200,1.502,1,0,0,0,0,0,0,0,0,40,3,-0.0174393751252101,anomaly,12.09,low,ml_outlier|req_rate_high
2026-03-18 01:08:43.123778+00:00,127.0.0.1,POST,/login,,auth_failed,401,3.0,1,1,1,0,0,0,0,0,0,41,4,-0.031096492847747625,anomaly,45.73,medium,auth_failed|client_error|ml_outlier|req_rate_high
2026-03-18 01:08:43.129165+00:00,127.0.0.1,POST,/login,,auth_attempt,401,24.494,1,1,0,0,0,0,0,0,0,42,4,-0.050800500686051464,anomaly,26.1,low,client_error|ml_outlier|req_rate_high
2026-03-18 01:08:43.133679+00:00,127.0.0.1,POST,/login,,auth_failed,401,3.0,1,1,1,0,0,0,0,0,0,43,4,-0.031096492847747625,anomaly,45.73,medium,auth_failed|client_error|ml_outlier|req_rate_high
2026-03-18 01:08:43.135145+00:00,127.0.0.1,POST,/login,,auth_attempt,401,2.349,1,1,0,0,0,0,0,0,0,44,4,-0.053465684834494875,anomaly,26.42,low,client_error|ml_outlier|req_rate_high
2026-03-18 01:08:43.141458+00:00,127.0.0.1,POST,/login,,auth_failed,401,3.0,1,1,1,0,0,0,0,0,0,45,4,-0.0309609542505751,anomaly,55.72,medium,auth_failed|client_error|ml_outlier|req_rate_very_high
2026-03-18 01:08:43.142852+00:00,127.0.0.1,POST,/login,,auth_attempt,401,3.519,1,1,0,0,0,0,0,0,0,46,4,-0.05224009342360958,anomaly,36.27,low,client_error|ml_outlier|req_rate_very_high
2026-03-18 01:08:43.147069+00:00,127.0.0.1,POST,/login,,auth_failed,401,3.0,1,1,1,0,0,0,0,0,0,47,4,-0.0309609542505751,anomaly,55.72,medium,auth_failed|client_error|ml_outlier|req_rate_very_high
2026-03-18 01:08:43.149670+00:00,127.0.0.1,POST,/login,,auth_attempt,401,3.366,1,1,0,0,0,0,0,0,0,48,4,-0.05195951196367743,anomaly,36.24,low,client_error|ml_outlier|req_rate_very_high
2026-03-18 01:08:43.154056+00:00,127.0.0.1,POST,/login,,auth_failed,401,3.0,1,1,1,0,0,0,0,0,0,49,4,-0.0309609542505751,anomaly,55.72,medium,auth_failed|client_error|ml_outlier|req_rate_very_high
2026-03-18 01:08:43.155174+00:00,127.0.0.1,POST,/login,,auth_attempt,401,1.718,1,1,0,0,0,0,0,0,0,50,4,-0.05385982116581789,anomaly,36.46,low,client_error|ml_outlier|req_rate_very_high
